Module,Component Group,Component Name,Component Handle
CDR,,CDR Serializer,cdr_serializer
DDSC,Entity Kinds Implementations,Cyclone Root,cyclone_root
DDSC,Entity Kinds Implementations,Data Query,data_query
DDSC,Entity Kinds Implementations,Domain,domain
DDSC,Entity Kinds Implementations,Guard Condition,guard_condition
DDSC,Entity Kinds Implementations,Participant,participant
DDSC,Entity Kinds Implementations,Publisher,publisher
DDSC,Entity Kinds Implementations,Reader,reader
DDSC,Entity Kinds Implementations,Subscriber,subscriber
DDSC,Entity Kinds Implementations,Topic,topic
DDSC,Entity Kinds Implementations,Waitset,waitset
DDSC,Entity Kinds Implementations,Writer,writer
DDSC,Entity management,Entity Listener,entity_listener
DDSC,Entity management,Entity QoS,entity_qos
DDSC,Entity management,Entity Relations,entity_relations
DDSC,Entity management,Entity Status,entity_status
DDSC,Entity Support,Generic Entity,generic_entity
DDSC,Entity Support,Handles,handles
DDSC,Entity Support,Listener Object,listener_obj
DDSC,Entity Support,QoS Object,qos_obj
DDSC,Miscellanous,Memory Allocation,memory_alloc
DDSC,Miscellanous,Shared Memory Monitor,shm_monitor
DDSC,Miscellanous,Statistics,statistics
DDSC,Reading/writing data,Built-in Topic,builtin_topic
DDSC,Reading/writing data,Coherent Sets,coherent_sets
DDSC,Reading/writing data,Data Allocation,data_alloc
DDSC,Reading/writing data,Data Instance,data_instance
DDSC,Reading/writing data,Read Data,read_data
DDSC,Reading/writing data,Reader History Cache,rhc
DDSC,Reading/writing data,Type Meta-Data,type_metadata
DDSC,Reading/writing data,Type Support Built-in Topic Implementation,typesupport_builtin
DDSC,Reading/writing data,Type Support C Implementation,typesupport_c
DDSC,Reading/writing data,Write Data,write_data
DDSC,Reading/writing data,Writer History Cache,whc
DDSI,Data Type Handling,Dynamic Types,dynamic_types
DDSI,Data Type Handling,Type Lookup,type_lookup
DDSI,Data Type Handling,Type System,type_system
DDSI,Data Type Handling,XTypes Type Wrapper,xtypes_wrapper
DDSI,Data Type Handling,Dynamic Type API,dynamic_type_api
DDSI,Debugging and Monitoring,DDSI Statistics,ddsi_statistics
DDSI,Debugging and Monitoring,Debug Support,debug_support
DDSI,Debugging and Monitoring,Packet Capturing,packet_capturing
DDSI,Debugging and Monitoring,Thread Monitor,thread_monitor
DDSI,Endpoint History Cache,Reader History Cache Interface,rhc_if
DDSI,Endpoint History Cache,Writer History Cache Interface,whc_if
DDSI,Entity Support,Built-in Topic Interface,builtintopic_if
DDSI,Entity Support,DDSI Endpoint,ddsi_endpoint
DDSI,Entity Support,DDSI Generic Entity,ddsi_generic_entity
DDSI,Entity Support,DDSI Participant,ddsi_participant
DDSI,Entity Support,DDSI Proxy Endpoint,ddsi_proxy_endpoint
DDSI,Entity Support,DDSI Proxy Participant,ddsi_proxy_participant
DDSI,Entity Support,DDSI Topic,ddsi_topic
DDSI,Entity Support,Endpoint Matching,endpoint_matching
DDSI,Entity Support,Entity Index,entity_index
DDSI,Entity Support,Local Delivery,local_delivery
