# Run between two identical machines connected via a quiet GbE
# Intel(R) Xeon(R) CPU E3-1270 V2 @ 3.50GHz
# Linux 3.8.13-rt14.20.el6rt.x86_64 #1 SMP PREEMPT RT Mon Aug 19 23:09:43 EDT 2013 x86_64 x86_64 x86_64 GNU/Linux
# gcc-6.2 (GCC) 6.2.0
# RelWithDebInfo build
#
# Default config with WHC high water mark increased to 500kB and synchronous/asynchronous delivery
#
# See performance/throughput-test & related stuff

# mode async0-mode-1
# payloadsize rate[samples/s] appl.bandwidth[Mb/s] raw.bandwidth[Mb/s]
0 1064331.910000 68.117242 461.821072
16 1021950.450000 196.214486 580.396416
32 1004887.790000 321.564093 704.295192
64 886335.050000 510.528989 858.929328
128 606552.730000 659.929370 911.906864
256 360660.040000 761.714004 927.151024


# mode async0-mode0
# payloadsize rate[samples/s] appl.bandwidth[Mb/s] raw.bandwidth[Mb/s]
0 635431.460000 40.667613 276.071768
16 640514.450000 122.978774 363.205936
32 609391.600000 195.005312 426.456872
64 607422.290000 349.875239 587.654096
128 548352.880000 596.607933 824.090880
256 359460.950000 759.181526 923.951712


# mode async0-mode1
# payloadsize rate[samples/s] appl.bandwidth[Mb/s] raw.bandwidth[Mb/s]
0 1190069.740000 76.164463 516.089224
16 1152553.460000 221.290264 654.080168
32 1112193.130000 355.901802 779.814584
64 906657.280000 522.234593 878.350632
128 610626.480000 664.361610 917.962608
256 361924.760000 764.385093 930.022384


# mode async1-mode-1
# payloadsize rate[samples/s] appl.bandwidth[Mb/s] raw.bandwidth[Mb/s]
0 1263053.575000 80.835429 547.290664
16 1126346.400000 216.258509 639.306424
32 1137603.930000 364.033258 798.198960
64 940714.420000 541.851506 913.912880
128 612950.770000 666.890438 921.560056
256 362797.380000 766.228067 932.618800


# mode async1-mode0
# payloadsize rate[samples/s] appl.bandwidth[Mb/s] raw.bandwidth[Mb/s]
0 737764.885000 47.216953 319.249216
16 725746.830000 139.343391 411.545448
32 721829.200000 230.985344 506.802784
64 710659.670000 409.339970 687.876968
128 617324.960000 671.649556 927.843224
256 366166.840000 773.344366 941.078864


# mode async1-mode1
# payloadsize rate[samples/s] appl.bandwidth[Mb/s] raw.bandwidth[Mb/s]
0 1269634.040000 81.256579 551.025368
16 1155343.830000 221.826015 655.698936
32 1116707.450000 357.346384 783.051736
64 939475.540000 541.137911 910.270248
128 611062.280000 664.835761 918.656800
256 362507.240000 765.615291 932.034512
